iter	Passed	Remaining
1369	24864	11434
1370	24883	11416
1371	24901	11398
1372	24922	11381
1373	24942	11363
1374	24965	11347
1375	24984	11330
1376	25005	11313
1377	25025	11295
1378	25045	11278
1379	25064	11260
1380	25081	11242
1381	25099	11224
1382	25119	11206
1383	25141	11190
1384	25161	11172
1385	25179	11154
1386	25200	11137
1387	25218	11119
1388	25236	11101
1389	25257	11084
1390	25274	11065
1391	25293	11047
1392	25305	11026
1393	25319	11007
1394	25336	10988
1395	25353	10969
1396	25370	10950
1397	25386	10931
1398	25403	10913
1399	25423	10895
1400	25445	10879
1401	25461	10860
1402	25481	10842
1403	25499	10824
1404	25517	10806
1405	25534	10787
1406	25553	10769
1407	25570	10751
1408	25589	10733
1409	25608	10715
1410	25629	10698
1411	25650	10681
1412	25671	10664
1413	25690	10646
1414	25710	10629
1415	25729	10611
1416	25748	10593
1417	25765	10575
1418	25782	10556
1419	25800	10538
1420	25821	10521
1421	25840	10503
1422	25864	10487
1423	25885	10470
1424	25910	10455
1425	25932	10438
1426	25950	10420
1427	25972	10403
1428	25990	10385
1429	26010	10367
1430	26031	10350
1431	26051	10333
1432	26071	10315
1433	26087	10296
1434	26109	10280
1435	26129	10262
1436	26150	10245
1437	26170	10227
1438	26191	10210
1439	26208	10192
1440	26224	10173
1441	26241	10154
1442	26259	10136
1443	26278	10118
1444	26297	10100
1445	26314	10081
1446	26334	10064
1447	26350	10045
1448	26368	10027
1449	26388	10009
1450	26403	9990
1451	26421	9971
1452	26440	9953
1453	26458	9935
1454	26475	9916
1455	26494	9898
1456	26511	9880
1457	26529	9861
1458	26548	9844
1459	26564	9825
1460	26585	9808
1461	26603	9789
1462	26621	9771
1463	26638	9752
1464	26655	9734
1465	26675	9716
1466	26691	9697
1467	26710	9679
1468	26730	9662
1469	26747	9643
1470	26764	9624
1471	26789	9609
1472	26808	9591
1473	26828	9573
1474	26849	9556
1475	26866	9537
1476	26884	9519
1477	26901	9501
1478	26921	9483
1479	26940	9465
1480	26959	9447
1481	26978	9429
1482	26998	9412
1483	27017	9394
1484	27036	9376
1485	27056	9358
1486	27073	9340
1487	27091	9321
1488	27112	9304
1489	27132	9286
1490	27153	9269
1491	27171	9251
1492	27195	9235
1493	27215	9217
1494	27236	9200
1495	27253	9181
1496	27269	9162
